guid,tag
944,negative
1499,positive
2676,positive
4719,negative
4951,positive
422,negative
192,positive
1097,positive
4590,positive
3075,negative
5126,positive
3714,negative
3568,negative
2762,neutral
4607,positive
2842,negative
3237,positive
1403,negative
4935,positive
3369,positive
4408,positive
1641,positive
3219,positive
2823,negative
2349,positive
4955,positive
118,negative
281,positive
3209,positive
2719,positive
1960,positive
5044,positive
4124,neutral
701,negative
3942,negative
4540,positive
4993,positive
3215,positive
890,positive
4613,positive
405,neutral
4449,negative
4917,negative
1795,positive
3269,positive
4325,negative
779,neutral
94,positive
2324,positive
3173,positive
3294,positive
477,positive
2086,positive
2119,negative
1916,negative
251,positive
3742,positive
222,positive
2126,negative
2904,neutral
2844,negative
4108,neutral
4770,positive
989,positive
687,negative
4628,positive
2468,positive
3332,negative
2514,negative
4192,positive
2513,positive
4923,negative
5069,positive
2569,positive
3241,positive
1049,positive
4416,negative
1629,positive
21,positive
1508,negative
3610,positive
824,positive
1792,positive
906,negative
4762,negative
11,positive
1244,positive
5118,positive
337,positive
207,positive
2618,negative
855,positive
2998,negative
3718,positive
4684,positive
1415,positive
4551,negative
129,positive
4116,neutral
3590,positive
1755,negative
1952,negative
4898,negative
885,positive
1681,negative
974,positive
3009,positive
455,positive
1371,positive
3694,negative
4033,positive
2321,positive
483,neutral
4611,positive
764,positive
4088,neutral
3974,positive
4698,neutral
1227,positive
81,positive
4998,positive
1387,positive
2749,positive
2540,positive
2557,positive
557,positive
5052,positive
601,positive
4646,negative
314,positive
1072,positive
1554,positive
1421,positive
2690,negative
1633,positive
4258,negative
151,positive
1876,neutral
4964,positive
3659,negative
815,positive
2937,neutral
3431,positive
3022,positive
2796,neutral
3541,positive
1932,negative
60,positive
1115,negative
3375,neutral
1767,positive
3523,neutral
1082,positive
183,positive
1584,positive
2021,positive
4252,positive
2097,positive
3485,positive
4122,neutral
3122,positive
2792,negative
5019,negative
224,positive
762,positive
1110,positive
2079,positive
1256,positive
1585,positive
2737,neutral
4070,negative
1138,negative
49,positive
1210,positive
4227,positive
4569,negative
1172,positive
381,positive
861,negative
645,positive
1260,positive
435,positive
4098,neutral
2455,negative
2735,positive
3920,neutral
4927,positive
628,negative
4347,negative
1132,positive
677,positive
225,positive
2363,negative
1796,positive
1724,positive
2957,neutral
1653,positive
4435,negative
1624,positive
5114,positive
3737,positive
4073,negative
2055,neutral
4831,negative
1401,positive
3322,positive
1154,positive
3943,negative
3868,positive
3531,positive
1305,negative
517,positive
2054,neutral
4184,negative
3822,positive
4565,positive
2583,positive
4087,negative
4528,positive
3417,negative
3079,negative
3731,negative
3318,neutral
866,negative
4824,negative
4815,negative
3490,positive
3426,negative
3063,neutral
5018,positive
919,negative
2590,positive
927,neutral
1288,negative
3480,negative
4103,positive
4589,positive
3938,negative
1203,positive
975,positive
3713,positive
4561,positive
1163,positive
4564,positive
1704,positive
2741,negative
3162,positive
2575,positive
4211,negative
2581,negative
4600,positive
2480,negative
2033,positive
18,positive
4437,positive
3126,positive
2595,positive
198,neutral
2729,positive
1990,positive
1927,negative
1356,negative
1064,positive
4464,negative
4700,negative
3008,neutral
1895,negative
3899,positive
2132,positive
393,positive
3907,positive
3850,negative
2871,positive
4433,negative
5077,negative
4707,neutral
4480,negative
13,positive
4248,positive
3849,positive
4114,negative
869,negative
3615,neutral
1204,negative
2657,positive
2773,positive
3439,positive
2433,positive
1867,positive
559,negative
3182,positive
4236,positive
4648,positive
2929,negative
3672,positive
807,positive
4934,positive
804,positive
1935,positive
2322,positive
1388,positive
839,positive
3971,positive
2705,neutral
3750,negative
1594,positive
3852,positive
5026,positive
1740,negative
4722,positive
907,positive
1690,positive
2899,negative
2643,negative
5119,positive
4574,positive
3820,positive
4154,negative
267,positive
3941,negative
3912,positive
897,positive
497,positive
622,positive
28,positive
777,positive
883,negative
2084,positive
4885,negative
1722,neutral
2573,positive
4794,negative
1813,positive
998,positive
565,positive
689,negative
3856,neutral
1673,positive
3284,negative
3947,negative
3032,positive
611,positive
4052,positive
2732,neutral
4282,negative
1873,negative
1134,positive
2927,positive
97,negative
5049,negative
2748,positive
4946,positive
2666,negative
117,neutral
2901,positive
1254,negative
2319,neutral
299,positive
3313,negative
38,positive
4989,negative
187,positive
3833,neutral
727,negative
443,positive
486,negative
1390,neutral
2106,positive
3197,negative
3104,positive
1071,neutral
3715,positive
1337,positive
3372,positive
910,negative
4152,positive
1019,positive
3405,negative
108,neutral
3370,negative
4738,negative
3510,positive
3040,negative
3794,neutral
1850,neutral
2747,negative
3786,negative
4316,positive
3933,negative
1925,positive
1178,positive
2755,neutral
679,positive
1606,positive
2971,positive
4816,negative
2600,positive
4701,positive
2531,positive
4387,negative
3677,positive
513,positive
4766,positive
760,neutral
3271,negative
1486,negative
914,positive
184,neutral
1596,positive
4519,positive
3977,negative
2675,negative
3004,positive
4585,negative
4616,positive
93,negative
2372,positive
1100,positive
4079,negative
1869,positive
134,negative
1473,positive
149,positive
4422,negative
2332,positive
4210,negative
2099,negative
5020,positive
3458,positive
935,negative
821,positive
1735,negative
1827,positive
2991,negative
3767,positive
1563,positive
5054,positive
1904,neutral
1698,negative
1520,negative
1149,positive
4231,neutral
243,neutral
3685,neutral
2035,positive
2506,positive
1880,positive
607,positive
27,neutral
3242,positive
3234,positive
284,positive
4840,negative
658,positive
1643,positive
1738,negative
4926,positive
3443,positive
2658,neutral
2091,negative
566,negative
2848,negative
4203,negative
4855,negative
3037,positive
4274,negative
2850,positive
1908,negative
735,positive
3020,positive
4863,neutral
3678,neutral
216,positive
454,negative
1496,positive
1016,neutral
4244,positive
4595,positive
4256,positive
901,negative
3217,positive
273,negative
4196,negative
4110,neutral
2736,neutral
578,positive
949,positive
1665,positive
3788,positive
1953,positive
439,positive
389,negative
980,positive
3019,positive
4586,positive
4605,positive
1039,positive
1448,positive
864,positive
4431,positive
3625,negative
3134,negative
1053,positive
3195,negative
4567,positive
1279,neutral
1301,positive
662,positive
4736,positive
5072,negative
1509,neutral
1212,positive
3946,negative
1092,positive
1947,negative
1715,positive
1648,positive
3515,negative
3468,positive
4300,negative
4521,positive
3304,positive
3368,positive
4054,positive
3661,negative
4249,positive
3179,negative
4820,negative
3725,positive
3837,positive
191,positive
2778,positive
4140,negative
3413,negative
1005,negative
1504,positive
2684,neutral
671,negative
3342,positive
4878,negative
2430,positive
1411,positive
420,positive
3966,negative
4305,positive
617,neutral
3538,negative
4520,positive
3376,positive
3411,negative
135,positive
4597,negative
4883,positive
2739,positive
4020,positive
1950,negative
3583,negative
664,negative
814,positive
3808,neutral
3440,positive
2536,positive
691,positive
3204,positive
112,positive
3441,positive
1676,negative
241,positive
4530,positive
2478,negative
69,negative
4723,positive
3988,negative
101,positive
1911,neutral
1843,positive
70,positive
1974,negative
4469,negative
46,neutral
2500,positive
1635,negative
4850,negative
5051,positive
4624,negative
2441,positive
1999,positive
846,positive
1048,positive
1501,positive
1853,neutral
1781,neutral
1292,positive
327,negative
1628,positive
4268,positive
2797,positive
3010,negative
1020,positive
2795,positive
123,positive
4238,positive
1055,positive
2836,negative
602,negative
3756,positive
4253,positive
685,negative
970,positive
2568,positive
4612,negative
4144,neutral
750,negative
204,negative
1035,positive
1152,positive
536,positive
4403,negative
2356,negative
3649,positive
4340,positive
1069,negative
2953,positive
400,negative
4733,positive
2576,positive
795,neutral
4013,negative
584,positive
2897,positive
1249,positive
3813,positive
985,neutral
688,positive
1668,positive
1994,negative
4790,positive
4709,positive
800,positive
289,positive
2504,positive
652,positive
847,neutral
1810,positive
4651,positive
1233,positive
769,positive
1139,negative
2572,neutral
4992,positive
2839,negative
4779,positive
2135,positive
2442,positive
2820,positive
4933,negative
2493,positive
116,neutral
3699,negative
178,positive
1344,negative
4583,positive
1703,negative
2153,neutral
4080,neutral
2375,neutral
232,negative
4415,negative
201,negative
2761,neutral
406,positive
1291,positive
3455,positive
366,positive
4099,positive
1285,positive
3263,positive
1627,negative
1516,negative
15,positive
4740,positive
1558,positive
1729,positive
960,negative
3799,positive
4362,negative
2164,positive
3452,negative
2068,negative
3146,positive
1623,positive
3059,positive
4477,positive
2509,positive
692,positive
3493,positive
1462,positive
3140,negative
4396,negative
3199,positive
5043,neutral
905,neutral
2997,positive
576,positive
4887,negative
5036,positive
1463,positive
790,positive
711,positive
5074,negative
3039,positive
3200,positive
2030,positive
746,positive
3670,negative
1220,neutral
3429,negative
992,negative
2738,neutral
4899,positive
124,positive
3736,negative
438,positive
3562,negative
4267,negative
3588,positive
4967,positive
3700,positive
2621,positive
2700,neutral
59,positive
4711,negative
2496,negative
1410,negative
3651,positive
4867,positive
4552,positive
3701,positive
240,positive
1343,positive
4106,neutral
3492,positive
684,positive
4183,negative
3207,negative
2,positive
5092,negative
442,negative
2112,positive
3100,positive
4425,neutral
153,negative
4162,positive
2843,negative
1739,negative
3582,positive
3914,positive
1280,positive
2886,positive
3178,positive
179,negative
1109,positive
3853,positive
4208,positive
2168,positive
4880,negative
4451,positive
2044,neutral
2499,neutral
4220,positive
5016,positive
1713,negative
4689,positive
4109,positive
1901,positive
3261,positive
3646,positive
1622,neutral
858,positive
3202,neutral
2436,positive
3123,negative
564,positive
4467,negative
4881,positive
899,negative
3311,negative
2357,positive
5010,positive
571,positive
4522,negative
4783,positive
